"centre_no","size","supermarket.800","pharmacy.800","post.800","gp.800","mat.child.health.800","dentist.800","childcare.800","kindergarten.800","primary.800","comm.library.800","convenience.400","rest.cafe.400","park.400","bus.400.tram.600.train.800"
487,"small",0,0,0,100,84.1584158415842,0,100,26.2376237623762,26.2376237623762,89.4389438943894,0,93.7293729372937,0,100
488,"small",99.0610328638498,99.0610328638498,0,99.0610328638498,0,0,99.0610328638498,99.0610328638498,99.0610328638498,0,99.0610328638498,99.0610328638498,100,99.0610328638498
489,"medium",19.2713833157339,27.3495248152059,11.8796198521647,38.9651531151003,2.69271383315734,11.8268215417107,64.7307286166843,24.0760295670539,57.233368532207,1.63674762407603,15.9450897571278,56.1774023231257,61.9324181626188,96.5681098204857
49,"large",98.6548162382897,74.8018256065337,60.6293538313716,83.4974777804468,3.05068460245016,95.7722796060533,97.8621186644247,72.2796060533269,79.8462647129474,11.8424213307711,54.3117943790536,74.2973816958924,78.6211866442469,91.5445592121067
490,"small",100,25.3205128205128,0,100,0,100,100,34.6153846153846,98.7179487179487,0,90.7051282051282,89.1025641025641,3.2051282051282,100
491,"small",0,0,0,21.0843373493976,0,44.2771084337349,100,100,0,87.6506024096386,86.144578313253,0,96.3855421686747,99.6987951807229
492,"large",98.9989274222381,95.1018948873793,96.1387200572042,87.7368609224169,69.3957811941366,99.3922059349303,95.3521630318198,95.5309259921344,32.6421165534501,95.5666785841973,39.6496245977833,50.8401859134787,26.5999284948159,99.7854844476225
493,"small",98.8913525498891,78.0487804878049,68.9578713968958,77.6053215077605,0,69.8447893569845,100,93.3481152993348,26.6075388026608,0,86.0310421286031,0,5.54323725055432,46.7849223946785
494,"medium",94.9579831932773,0,0,42.5210084033613,37.9831932773109,17.6470588235294,71.3725490196078,26.5546218487395,20,82.96918767507,23.1372549019608,12.436974789916,78.375350140056,69.5238095238095
495,"small",13.5779816513761,55.045871559633,66.9724770642202,95.2293577981651,82.0183486238532,49.3577981651376,94.4954128440367,1.10091743119266,4.77064220183486,93.7614678899083,0,25.1376146788991,41.1009174311927,100
496,"small",100,0,100,14.6993318485523,14.6993318485523,0,100,23.162583518931,0,0,96.6592427616927,89.532293986637,79.5100222717149,100
497,"large",98.4370303576796,81.0940787496243,67.2377517282837,75.7138563270213,51.4277126540427,82.0258491133153,74.0607153591825,52.4496543432522,45.4463480613165,0,47.6104598737601,37.8118425007514,94.7700631199279,81.4247069431921
498,"small",0,5.19480519480519,5.19480519480519,0,0,0,89.6103896103896,97.1861471861472,77.2727272727273,0,69.9134199134199,86.3636363636364,26.6233766233766,89.6103896103896
499,"small",33.5907335907336,99.8069498069498,57.1428571428571,76.8339768339768,0,57.9150579150579,100,94.980694980695,100,0,3.08880308880309,0,34.3629343629344,75.8687258687259
5,"small",50.251256281407,84.4221105527638,37.6884422110553,89.4472361809045,50.7537688442211,99.748743718593,80.1507537688442,0,50.7537688442211,0,0,87.1859296482412,73.6180904522613,93.9698492462311
50,"medium",25.0968241673122,27.4980635166538,26.1812548412084,92.9512006196747,91.5569326103795,24.3222308288149,96.3594113090627,94.7327652982184,27.0333075135554,1.54918667699458,2.01394268009295,49.419054996127,93.6483346243222,94.5003872966693
500,"small",12.0325203252033,95.1219512195122,95.1219512195122,25.5284552845528,72.8455284552846,25.5284552845528,100,71.5447154471545,39.0243902439024,0,7.64227642276423,85.0406504065041,80.3252032520325,96.5853658536585
501,"small",88.3050847457627,74.9152542372881,83.0508474576271,99.8305084745763,99.8305084745763,89.1525423728814,100,17.4576271186441,0,0,2.3728813559322,80.5084745762712,60,99.1525423728814
502,"small",55.0287356321839,49.4252873563218,36.4942528735632,41.3793103448276,0,100,73.2758620689655,73.2758620689655,0,0,1.4367816091954,93.6781609195402,83.6206896551724,100
503,"large",95.7781456953642,87.3344370860927,0,91.887417218543,0,88.658940397351,81.1258278145695,7.53311258278146,72.9304635761589,92.135761589404,54.3046357615894,49.3377483443709,96.523178807947,94.453642384106
504,"small",55.7339449541284,18.5779816513761,21.1009174311927,28.4403669724771,92.2018348623853,7.3394495412844,66.9724770642202,72.4770642201835,72.4770642201835,0,1.14678899082569,98.394495412844,100,29.1284403669725
505,"large",98.4826235927557,86.5883504650024,0,98.4336759667156,0,98.4826235927557,87.2736172295644,0,37.2001957905042,72.8340675477239,56.1429270680372,49.290259422418,51.6886930983847,100
507,"small",100,100,100,100,64.9164677804296,41.7661097852029,98.5680190930788,64.9164677804296,87.1121718377088,0,88.0668257756563,73.9856801909308,59.1885441527446,100
508,"small",34.5982142857143,24.1071428571429,34.5982142857143,17.4107142857143,0,67.1875,100,33.0357142857143,100,0,91.5178571428571,91.5178571428571,62.0535714285714,84.5982142857143
509,"small",0,0,0,98.7525987525988,0,0,98.7525987525988,0,97.9209979209979,91.4760914760915,94.5945945945946,23.0769230769231,98.1288981288981,98.7525987525988
51,"small",17.6991150442478,1.76991150442478,1.76991150442478,69.9115044247788,17.6991150442478,89.6755162241888,100,17.6991150442478,83.4808259587021,0,0,100,45.1327433628319,100
510,"large",98.6361636603608,96.8763748350198,93.7527496700396,91.4650241970963,32.996040475143,94.6326440827101,97.3603167619886,31.3682358117026,75.0549934007919,0,58.4249890013198,46.0184777826661,81.3462384513858,96.4364276286846
511,"small",59.0664272890485,0,59.0664272890485,9.33572710951526,9.33572710951526,0.897666068222621,100,98.9228007181328,57.8096947935368,0,1.79533213644524,80.7899461400359,57.2710951526032,99.6409335727109
512,"medium",95.9511568123393,96.6580976863753,92.3521850899743,31.8123393316195,16.5167095115681,0.44987146529563,81.8123393316195,81.8123393316195,59.1259640102828,0,32.3907455012853,45.1799485861183,67.4807197943445,97.1079691516709
513,"small",54.6692607003891,70.2334630350195,100,100,12.2568093385214,100,93.3852140077821,66.5369649805447,58.9494163424125,0,92.4124513618677,0,16.147859922179,100
514,"large",89.471403812825,20.9705372616984,90.4246100519931,85.8752166377816,1.38648180242634,50.736568457539,97.5736568457539,49.5233968804159,71.7504332755633,14.9046793760832,40.9012131715771,27.9896013864818,65.684575389948,77.2963604852686
