"centre_no","size","rest.cafe.400","bus.400.tram.600.train.800","supermarket.800","convenience.400","butcher.800","bakery.800","pharmacy.800","post.800","park.400","comm.ctr.800","childcare.800","kindergarten.800","primary.800","distsport.800","comm.health.800","mat.child.health.800","gp.400","dentist.800"
1029,"small",90.2077151335312,98.5163204747775,0,0,0,0,53.4124629080119,0,100,0,94.0652818991098,0,0,100,0,99.7032640949555,0,0
103,"large",65.650406504065,93.5365853658537,89.2276422764228,52.479674796748,0.975609756097561,93.4552845528455,15.609756097561,4.02439024390244,79.8373983739837,31.3008130081301,100,67.1544715447154,91.0162601626016,77.1138211382114,0,56.1788617886179,58.4552845528455,93.4552845528455
1030,"small",81.8181818181818,82.7751196172249,18.6602870813397,0,3.11004784688995,0,93.7799043062201,0,47.1291866028708,0,91.6267942583732,82.5358851674641,82.0574162679426,92.5837320574163,0,48.0861244019139,20.8133971291866,73.444976076555
1031,"large",37.0566037735849,78.5660377358491,96.6792452830189,37.0566037735849,0,0,82.3396226415094,67.0188679245283,65.811320754717,0,99.7735849056604,1.20754716981132,7.84905660377358,5.50943396226415,0,1.20754716981132,33.9622641509434,85.2830188679245
1032,"large",66.1057692307692,77.4038461538462,94.9519230769231,30.0480769230769,0,0,83.4134615384615,69.4711538461538,77.4038461538462,1.68269230769231,82.2115384615385,37.7403846153846,59.6153846153846,77.1634615384615,0,3.84615384615385,65.1442307692308,100
1034,"large",39.6538158929976,91.3060582218725,95.3973249409913,31.5499606608969,0,0,57.8284815106216,38.3949645948072,69.0007867820614,40.6766325727773,88.8670338316286,43.5483870967742,61.3296616837136,46.1841070023603,0,38.9063729346971,37.4901652242329,71.0464201416208
1035,"small",62.6865671641791,84.7014925373134,100,76.1194029850746,0,0,16.7910447761194,0,17.5373134328358,100,100,77.9850746268657,66.7910447761194,58.2089552238806,0,69.0298507462687,0,0
1036,"small",77.5193798449613,97.2868217054263,18.9922480620155,74.4186046511628,0,0,100,0,77.9069767441861,23.6434108527132,95.3488372093023,0,84.1085271317829,35.2713178294574,0,0,84.1085271317829,0
1037,"medium",0,79.0024135156878,94.2075623491553,20.8366854384553,0,0,39.0185036202735,0.482703137570394,88.0933226065969,20.7562349155269,52.212389380531,5.06838294448914,42.2365245374095,43.0410297666935,0,5.06838294448914,35.5591311343524,53.4995977473854
1038,"small",12.5,71.0227272727273,0,0,0,0,0,0,98.2954545454545,0,100,0,0,0,0,0,0,0
