"LGA","NAME","score_single_hard_base","score_single_hard_int","score_single_hard_diff","score_single_soft_base","score_single_soft_int","score_single_soft_diff","score_wt_hard_base","score_wt_hard_int","score_wt_hard_diff","score_wt_soft_base","score_wt_soft_int","score_wt_soft_diff","score_wt_mult_hard_base","score_wt_mult_hard_int","score_wt_mult_hard_diff","score_wt_mult_soft_base","score_wt_mult_soft_int","score_wt_mult_soft_diff"
"Hobsons Bay","HOBSONS BAY",6.61119368126035,11.0346299205911,4.42343623933076,6.41552464536182,10.0755503554466,3.66002571008473,11.0844834175549,19.9220136736167,8.83753025606183,10.8632198065806,18.2236025377197,7.3603827311391,11.5594080428044,20.5810225487282,9.02161450592382,11.4119990509839,19.0492372172523,7.63723816626836
"Hume","HUME",4.60655536459612,6.60561011539406,1.99905475079794,4.55977117452737,6.33312419871017,1.77335302418281,7.18145101890498,10.9456174809723,3.76416646206727,7.22507458100499,10.5850229941214,3.35994841311641,7.30921924871102,11.1465504542107,3.83733120549963,7.39987197280873,10.8768298909312,3.47695791812247
"Kingston","KINGSTON",6.1959567276885,9.90737413461659,3.71141740692809,6.071953041923,9.13107665890504,3.05912361698204,10.6030230308208,17.5365314302228,6.93350839940193,10.4998118553039,16.2384267206142,5.7386148653103,11.0540652602747,18.1337998969707,7.07973463669602,11.0286668841009,16.992384057569,5.96371717346811
"Knox","KNOX",4.80734906608045,7.36754065425323,2.56019158817278,4.79642557780447,6.98604087230323,2.18961529449876,7.78146428103481,12.3434611073098,4.56199682627495,7.90463028287924,11.8300582142539,3.92542793137463,8.0122727074204,12.663337652317,4.65106494489656,8.18588225439626,12.2309472833694,4.04506502897317
"Manningham","MANNINGHAM",5.13172801985362,8.67014944161706,3.53842142176345,5.06402504470399,8.0742353808821,3.01021033617811,8.06973942129588,15.1804988580574,7.11075943676156,8.08941519494046,14.1794942386613,6.09007904372079,8.42271656446131,15.6468789900552,7.2241624255939,8.51043481123946,14.7761578156992,6.26572300445977
"Maribyrnong","MARIBYRNONG",7.78958906464924,10.7981645460798,3.00857548143054,7.50070910752031,9.92932218155424,2.42861307403393,14.1305665405777,19.3759456671252,5.24537912654746,13.5780887370247,17.8499885492715,4.27189981224677,15.2198890990371,20.5852389958735,5.36534989683631,14.7794446213401,19.2464531419169,4.46700852057686
"Maroondah","MAROONDAH",4.77668777147905,9.13802179194581,4.36133402046676,4.78800582342637,8.46851431889309,3.68050849546671,7.66375248472355,16.0722042258706,8.40845174114702,7.8457571138039,14.9379408498725,7.09218373606858,7.90357432084223,16.4203968195539,8.51682249871163,8.15309935430315,15.4114168896589,7.2583175353557
"Melbourne","MELBOURNE",10.0516592541909,13.1745715796349,3.12291232544397,9.574389432219,11.9265797865985,2.35219035437951,19.7991633751127,24.5101778994184,4.71101452430566,18.7738572874811,22.2974480141949,3.5235907267138,22.2383758902746,27.0621481665785,4.82377227630392,21.1709058991839,24.8952803123582,3.72437441317427
"Melton","MELTON",3.50725617070163,4.59076548799649,1.08350931729486,3.57204002876636,4.58370388108083,1.01166385231447,5.18965721140038,7.0880708215776,1.89841361017722,5.43244291008135,7.22300746145175,1.79056455137041,5.26348600293964,7.20623067696102,1.94274467402139,5.5373515966807,7.39562259449761,1.8582709978169
"Merri-bek","MERRI-BEK",7.50754291078133,12.3658479349186,4.85830502413731,7.2290223897776,11.0970094123943,3.86798702261668,13.1724812265332,22.5568009118541,9.38431968532094,12.7361811367005,20.2650520421277,7.52887090542722,13.9724097085643,23.5351890756303,9.56277936706598,13.65710609376,21.4621696336189,7.80506353985892
"Monash","MONASH",5.45813310363587,10.3997869253785,4.94165382174268,5.40285620432957,9.49645937619863,4.09360317186907,8.63771647474839,18.4781711850576,9.84045471030919,8.75839437284814,16.9266084045301,8.16821403168195,8.93871837881948,18.8813129023484,9.94259452352888,9.12849003949064,17.4860457124164,8.35755567292571
